date,nav,reward,selected
2016-01-07T00:00:00.000000000,1.0,0.0,"NSE_SOLARINDS,NSE_HDFCBANK,NSE_CIPLA,NSE_PIDILITIND,NSE_ONGC,NSE_INDHOTEL,NSE_BAJAJ_AUTO,NSE_ABB,NSE_ADANIPOWER,NSE_ADANIPORTS"
2016-01-08T00:00:00.000000000,1.0,0.0,"NSE_SOLARINDS,NSE_HDFCBANK,NSE_CIPLA,NSE_ABB,NSE_ONGC,NSE_PIDILITIND,NSE_BAJAJ_AUTO,NSE_ADANIPOWER,NSE_INDHOTEL,NSE_ADANIPORTS"
2016-01-11T00:00:00.000000000,1.0,0.0,"NSE_SOLARINDS,NSE_HDFCBANK,NSE_CIPLA,NSE_PIDILITIND,NSE_INDHOTEL,NSE_ADANIPOWER,NSE_ONGC,NSE_BAJAJ_AUTO,NSE_ADANIPORTS,NSE_ABB"
2016-01-12T00:00:00.000000000,1.0,0.0,"NSE_SOLARINDS,NSE_CIPLA,NSE_HDFCBANK,NSE_PIDILITIND,NSE_ADANIPOWER,NSE_BAJAJ_AUTO,NSE_INDHOTEL,NSE_ABB,NSE_ADANIPORTS"
2016-01-13T00:00:00.000000000,1.0,0.0,"NSE_SOLARINDS,NSE_HDFCBANK,NSE_CIPLA,NSE_PIDILITIND,NSE_BAJAJ_AUTO,NSE_INDHOTEL,NSE_ADANIPOWER,NSE_ADANIPORTS"
2016-01-14T00:00:00.000000000,1.0,0.0,"NSE_INDHOTEL,NSE_SOLARINDS,NSE_CIPLA,NSE_BAJAJ_AUTO,NSE_HDFCBANK,NSE_PIDILITIND,NSE_ADANIPORTS,NSE_ADANIPOWER"
2016-01-15T00:00:00.000000000,1.0,0.0,"NSE_CIPLA,NSE_PIDILITIND,NSE_SOLARINDS,NSE_INDHOTEL,NSE_ADANIPORTS,NSE_BAJAJ_AUTO,NSE_ADANIPOWER,NSE_ONGC,NSE_HDFCBANK"
2016-01-18T00:00:00.000000000,1.0,0.0,"NSE_CIPLA,NSE_ADANIPORTS,NSE_INDHOTEL,NSE_PIDILITIND,NSE_ADANIPOWER,NSE_ONGC,NSE_SOLARINDS,NSE_BAJAJ_AUTO,NSE_DLF"
2016-01-19T00:00:00.000000000,1.0,0.0,"NSE_ADANIPORTS,NSE_CIPLA,NSE_PIDILITIND,NSE_INDHOTEL,NSE_ADANIPOWER,NSE_ONGC,NSE_SOLARINDS,NSE_BAJAJ_AUTO,NSE_DLF"
2016-01-20T00:00:00.000000000,1.0,0.0,"NSE_ADANIPORTS,NSE_CIPLA,NSE_PIDILITIND,NSE_ONGC,NSE_INDHOTEL,NSE_BAJAJ_AUTO,NSE_DLF,NSE_SOLARINDS,NSE_ADANIPOWER"
2016-01-21T00:00:00.000000000,1.0,0.0,"NSE_ADANIPORTS,NSE_PIDILITIND,NSE_CIPLA,NSE_INDHOTEL,NSE_DLF,NSE_ADANIPOWER,NSE_BAJAJ_AUTO,NSE_SOLARINDS,NSE_ONGC"
2016-01-22T00:00:00.000000000,1.0,0.0,"NSE_CIPLA,NSE_ADANIPORTS,NSE_PIDILITIND,NSE_ADANIPOWER,NSE_DLF,NSE_TVSMOTOR,NSE_BAJAJ_AUTO,NSE_ONGC,NSE_SOLARINDS"
2016-01-25T00:00:00.000000000,1.0,0.0,"NSE_CIPLA,NSE_PIDILITIND,NSE_ADANIPOWER,NSE_TVSMOTOR,NSE_ADANIPORTS,NSE_ONGC,NSE_DLF,NSE_BAJAJ_AUTO,NSE_SOLARINDS"
2016-01-27T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_TVSMOTOR,NSE_ADANIPOWER,NSE_JSWSTEEL,NSE_CIPLA,NSE_ADANIPORTS,NSE_DLF,NSE_BAJAJ_AUTO"
2016-01-28T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_ADANIPORTS,NSE_ADANIPOWER,NSE_DLF,NSE_CIPLA,NSE_JSWSTEEL,NSE_BAJAJ_AUTO,NSE_TVSMOTOR"
2016-01-29T00:00:00.000000000,1.0,0.0,"NSE_ADANIPOWER,NSE_PIDILITIND,NSE_DLF,NSE_ADANIPORTS,NSE_BAJAJ_AUTO,NSE_CIPLA,NSE_INDHOTEL,NSE_JSWSTEEL"
2016-02-01T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_SOLARINDS,NSE_ADANIPOWER,NSE_CIPLA,NSE_DLF,NSE_INDHOTEL,NSE_ADANIPORTS,NSE_JSWSTEEL"
2016-02-02T00:00:00.000000000,1.0,0.0,"NSE_SOLARINDS,NSE_PIDILITIND,NSE_JSWSTEEL,NSE_DLF,NSE_CIPLA,NSE_ONGC,NSE_INDHOTEL,NSE_ADANIPORTS"
2016-02-03T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_SOLARINDS,NSE_ONGC,NSE_DLF,NSE_CIPLA,NSE_PIDILITIND,NSE_ADANIPORTS"
2016-02-04T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_SOLARINDS,NSE_DLF,NSE_ONGC,NSE_ADANIPORTS,NSE_CIPLA,NSE_PIDILITIND"
